10000 20
QK572WF 10:02:23 out
QO456PN 02:45:50 in
QO456PN 06:45:30 out
VZ112IE 22:23:32 in
VZ112IE 03:48:58 out
KZ177CS 16:54:45 in
KZ177CS 20:33:43 out
OO348SZ 02:01:35 in
OO348SZ 21:50:01 out
DL703JG 14:43:42 in
DL703JG 03:27:43 out
HS352JM 21:57:17 in
HS352JM 04:58:10 out
VK600RP 18:40:50 in
VK600RP 03:57:16 out
BK290BW 05:53:25 in
BK290BW 14:27:36 out
OE435KH 09:36:03 in
OE435KH 12:16:05 out
DA496VW 17:40:02 in
DA496VW 11:27:38 out
HH078VH 07:32:16 in
HH078VH 11:20:12 out
MC436JW 11:31:13 in
MC436JW 17:55:00 out
ED820HE 20:55:05 in
ED820HE 22:37:44 out
CC158EG 21:29:19 in
CC158EG 22:39:04 out
ZY649UX 23:46:39 in
ZY649UX 11:10:44 out
GA520NP 16:30:03 in
GA520NP 20:47:38 out
YW479XQ 16:36:16 in
YW479XQ 01:08:16 out
CA795KB 04:25:40 in
CA795KB 14:02:34 out
ZY812KO 11:54:32 in
ZY812KO 17:44:14 out
TK467NB 17:05:40 in
TK467NB 07:51:54 out
KJ974FP 06:42:32 in
KJ974FP 04:48:34 out
YV445AF 01:39:13 in
YV445AF 17:50:53 out
SY927QA 01:43:45 in
GL179TX 07:44:47 in
JO304EB 10:41:21 in
SY927QA 16:25:48 out
GL179TX 02:38:56 out
JO304EB 15:34:27 out
CA981JO 23:25:16 in
CA981JO 04:56:41 out
YC323RE 09:34:42 in
YC323RE 04:22:18 out
CO137DI 02:20:32 in
CO137DI 09:02:00 out
JI402BF 01:27:17 in
JI402BF 01:41:07 out
BV623TE 11:32:36 in
BV623TE 14:40:20 out
QR496PN 07:58:33 in
QR496PN 21:07:52 out
OM905TA 17:54:21 in
OM905TA 20:27:23 out
PG938WP 01:09:14 in
PG938WP 12:27:05 out
JU170OS 14:40:04 in
JU170OS 02:20:31 out
SW390DQ 03:16:04 in
SW390DQ 01:50:43 out
HE188ZI 23:08:17 in
HE188ZI 18:05:05 out
PH110OL 00:25:21 in
PH110OL 13:42:01 out
QG056CZ 16:13:20 in
QG056CZ 12:37:37 out
GS864BL 14:26:31 in
GS864BL 05:46:10 out
JA535EO 01:41:06 in
JA535EO 16:56:45 out
IN918SL 09:07:51 in
IN918SL 09:24:03 out
BE531OB 10:31:59 in
BE531OB 22:03:58 out
QQ406EI 22:52:01 in
QQ406EI 14:47:29 out
KI428FI 22:30:21 in
KI428FI 05:34:43 out
CN185WW 03:13:07 in
CN185WW 05:35:11 out
WA763EB 12:48:16 in
WA763EB 19:15:04 out
XD015XW 12:05:10 in
XD015XW 03:24:57 out
AP317VJ 06:40:36 in
AP317VJ 08:56:00 out
WV882AJ 10:38:48 in
WV882AJ 14:11:49 out
FO982WL 07:48:53 in
FO982WL 20:43:52 out
AE073GS 04:03:48 in
AE073GS 22:30:58 out
MP248KL 14:40:40 in
MP248KL 04:14:10 out
UW244JF 02:41:13 in
UW244JF 09:53:03 out
OW394MP 11:49:50 in
OW394MP 10:25:47 out
NG922RJ 13:17:57 in
NG922RJ 11:00:54 out
QJ885BL 03:37:51 in
QJ885BL 11:57:19 out
SZ897NG 01:14:21 in
SZ897NG 04:29:47 out
BJ377ED 12:51:55 in
BJ377ED 05:46:30 out
TV216ZA 02:34:30 in
TV216ZA 01:58:22 out
BA756RT 06:33:48 in
BA756RT 02:46:12 out
BN661MS 22:10:23 in
BN661MS 05:02:22 out
RB247GX 09:10:04 in
RB247GX 18:25:48 out
KR347RO 09:31:06 in
KR347RO 23:43:02 out
JD535OG 00:50:29 in
JD535OG 04:52:10 out
HE844CA 00:32:31 in
HE844CA 10:37:26 out
XH503JZ 06:22:37 in
XH503JZ 18:23:46 out
MV545JM 19:00:09 in
MV545JM 09:21:44 out
HD728XN 06:46:06 in
HD728XN 17:37:16 out
RI747ZL 00:35:29 in
RI747ZL 17:15:46 out
LZ259JG 04:34:12 in
LZ259JG 01:18:52 out
GS830EV 19:15:29 in
GS830EV 20:12:37 out
LV797QP 23:53:31 in
LV797QP 17:14:05 out
XJ898HT 18:41:58 in
XJ898HT 09:20:01 out
NP303SP 21:13:49 in
NP303SP 05:22:02 out
EZ303HZ 03:25:01 in
EZ303HZ 22:59:51 out
SY685AE 21:13:35 in
SY685AE 04:20:35 out
JW997SZ 00:51:25 in
JW997SZ 01:09:07 out
BV202RQ 13:34:25 in
BV202RQ 09:51:21 out
MO480FF 12:30:09 in
MO480FF 10:09:50 out
VC654GZ 08:56:47 in
VC654GZ 13:02:57 out
LG953FB 16:55:16 in
LG953FB 07:59:44 out
KD597GR 06:03:59 in
KD597GR 08:55:07 out
IV230LW 20:02:39 in
IV230LW 10:54:14 out
XT566UQ 09:38:47 in
XT566UQ 23:16:34 out
CA728JS 23:43:23 in
CA728JS 05:25:10 out
BI273EV 10:39:36 in
BI273EV 06:13:13 out
ZQ880SE 14:36:12 in
ZQ880SE 15:07:32 out
PO782XI 06:02:36 in
PO782XI 14:24:30 out
HS435LK 22:52:57 in
HS435LK 08:30:48 out
OL493HA 15:31:28 in
OL493HA 12:31:19 out
FI497NH 13:58:57 in
FI497NH 22:32:48 out
DF347BD 10:57:21 in
DF347BD 02:56:57 out
FP509TF 21:58:16 in
FP509TF 01:20:25 out
QZ663AK 07:02:24 in
QZ663AK 03:09:04 out
DK954UT 01:26:58 in
DK954UT 04:38:03 out
VJ459SE 16:55:40 in
VJ459SE 16:16:50 out
DI474ZN 23:57:16 in
DI474ZN 08:05:16 out
BH629IY 22:40:02 in
BH629IY 20:26:44 out
XM648QX 22:36:07 in
XM648QX 12:05:53 out
GH954WZ 16:38:49 in
GH954WZ 18:24:17 out
US509WZ 12:32:47 in
US509WZ 22:39:46 out
IW049SZ 08:29:58 in
IW049SZ 21:28:11 out
UO565UO 18:36:42 in
UO565UO 14:06:57 out
YE708KQ 01:44:29 in
YE708KQ 01:40:37 out
JW194YH 05:16:32 in
JW194YH 19:14:14 out
WT990OJ 18:57:07 in
WT990OJ 23:02:31 out
PG623QJ 22:54:53 in
PG623QJ 19:00:55 out
IH007XE 00:02:37 in
IH007XE 08:28:40 out
RR957EF 04:51:59 in
RR957EF 15:03:24 out
CC114XZ 08:55:46 in
CC114XZ 06:32:35 out
LA365SY 07:56:45 in
LA365SY 06:48:53 out
ZL765TJ 16:57:43 in
ZL765TJ 19:06:59 out
KC776EE 17:46:44 in
KC776EE 05:04:44 out
PK456RP 00:26:25 in
PK456RP 18:39:13 out
FX767CV 21:00:54 in
FX767CV 06:43:14 out
AA505CZ 11:07:29 in
AA505CZ 00:03:28 out
SY053AS 21:05:43 in
SY053AS 06:54:00 out
FS689CX 22:23:36 in
FS689CX 20:26:14 out
PT500CS 12:10:49 in
PT500CS 02:43:32 out
PD208WR 16:10:52 in
PD208WR 05:04:17 out
QS644XM 01:42:31 in
QS644XM 10:31:31 out
BV863GW 08:37:35 in
BV863GW 19:41:01 out
LM688JO 02:15:19 in
LM688JO 05:00:48 out
UO804RF 14:31:40 in
UO804RF 18:56:31 out
QS577CU 16:00:01 in
QS577CU 21:57:21 out
VJ393BV 03:33:00 in
VJ393BV 00:47:26 out
FW153DN 09:22:31 in
FW153DN 03:23:23 out
FK025NN 01:50:45 in
FK025NN 01:15:48 out
XX847EH 05:00:02 in
XX847EH 23:06:56 out
VN628NF 21:37:15 in
VN628NF 23:49:40 out
YX505PM 07:06:18 in
YX505PM 10:08:26 out
OI666NW 03:37:20 in
OI666NW 05:28:14 out
NL783WZ 06:48:40 in
NL783WZ 13:40:44 out
CR597QO 21:52:42 in
CR597QO 08:54:24 out
ZC103EN 02:50:53 in
ZC103EN 20:46:34 out
JN249VP 14:15:47 in
JN249VP 23:33:20 out
ZM033AJ 17:19:21 in
ZM033AJ 23:55:34 out
DU811AU 01:12:55 in
DU811AU 21:36:35 out
RP781JR 07:17:40 in
RP781JR 13:24:01 out
OE710MP 23:54:41 in
OE710MP 15:22:25 out
WN686KP 06:05:05 in
WN686KP 02:37:25 out
ZP223AC 22:55:46 in
ZP223AC 13:17:39 out
VF548PW 13:57:49 in
VF548PW 09:53:00 out
ST760BJ 13:52:26 in
ST760BJ 09:02:51 out
PH480NM 15:48:14 in
PH480NM 23:02:38 out
DJ214JI 06:04:04 in
DJ214JI 00:19:49 out
DY576RJ 23:17:31 in
DY576RJ 08:59:18 out
UD867UQ 18:14:10 in
UD867UQ 14:54:05 out
UP383MO 04:42:21 in
UP383MO 20:02:24 out
SC956FX 06:08:29 in
SC956FX 05:48:38 out
ER754TW 08:16:16 in
ER754TW 22:31:44 out
QX301ZT 02:41:25 in
QX301ZT 14:06:43 out
US640AK 02:08:24 in
US640AK 19:35:47 out
DT712GE 06:45:53 in
DT712GE 01:41:07 out
VZ963BV 02:17:28 in
VZ963BV 20:37:58 out
GB275GW 02:17:15 in
GB275GW 11:26:06 out
MB644GE 21:35:33 in
MB644GE 16:34:01 out
GG729ZS 13:28:31 in
GG729ZS 01:40:46 out
TN890OT 16:53:56 in
TN890OT 19:55:26 out
AH263YK 11:11:00 in
AH263YK 23:37:12 out
LA850MO 11:26:45 in
LA850MO 23:36:14 out
JC324XS 04:19:29 in
JC324XS 03:36:06 out
BT376WE 19:00:30 in
BT376WE 03:31:39 out
DT399FW 08:30:50 in
DT399FW 09:21:17 out
OY748AO 04:24:57 in
OY748AO 05:08:41 out
ML856BA 02:21:47 in
ML856BA 16:49:01 out
RD568MT 19:15:23 in
RD568MT 07:05:32 out
LB022VL 21:53:28 in
LB022VL 13:58:00 out
TY222ED 08:18:08 in
TY222ED 14:51:30 out
XR232GX 00:24:05 in
XR232GX 21:21:37 out
GZ337XQ 23:44:38 in
GZ337XQ 12:00:01 out
IO445CZ 18:32:38 in
IO445CZ 10:06:32 out
VI293HL 16:36:19 in
VI293HL 08:20:07 out
CR198BR 07:58:30 in
CR198BR 19:05:44 out
SX980IP 07:55:17 in
SX980IP 10:45:14 out
BH619CM 22:24:11 in
BH619CM 01:33:56 out
WZ972QO 08:07:08 in
WZ972QO 14:26:13 out
VE789YL 16:59:43 in
VE789YL 20:47:44 out
EP849YV 08:36:09 in
EP849YV 10:22:38 out
ON857NO 15:03:11 in
ON857NO 02:25:16 out
OA151MG 03:14:25 in
OA151MG 00:43:48 out
NJ151FM 10:14:32 in
NJ151FM 16:06:54 out
CS262RV 17:10:18 in
CS262RV 17:48:06 out
TX607JM 18:08:22 in
TX607JM 01:06:22 out
YE998OG 16:07:44 in
YE998OG 02:50:34 out
JH299NK 02:08:22 in
JH299NK 15:39:53 out
PJ028AJ 12:08:05 in
PJ028AJ 13:07:47 out
OL037NQ 06:16:43 in
OL037NQ 03:31:26 out
TR670YT 13:15:42 in
TR670YT 11:43:26 out
ZC013WE 06:41:33 in
ZC013WE 15:48:42 out
CQ791NC 07:13:50 in
CQ791NC 14:05:32 out
OL583QB 07:33:33 in
OL583QB 10:15:37 out
QJ931RR 01:30:41 in
QJ931RR 15:42:25 out
QV681DA 18:57:36 in
QV681DA 08:35:51 out
SM505BN 12:24:44 in
SM505BN 07:49:04 out
AG797GQ 08:30:10 in
AG797GQ 15:57:07 out
SS694WQ 15:23:57 in
SS694WQ 23:41:09 out
KX824YC 16:34:06 in
KX824YC 23:29:17 out
DO840QD 22:47:34 in
DO840QD 14:42:39 out
UO881HV 00:59:30 in
UO881HV 09:01:03 out
UV585HH 16:22:27 in
UV585HH 00:43:58 out
IY391YS 10:46:46 in
IY391YS 17:22:18 out
EL189EC 05:40:23 in
EL189EC 00:35:16 out
PW316ZN 17:50:32 in
PW316ZN 09:37:19 out
JR325MI 00:24:24 in
JR325MI 01:54:57 out
YR316FR 10:16:37 in
YR316FR 02:19:30 out
GT866RY 05:59:42 in
GT866RY 17:32:18 out
IK175VI 21:54:06 in
IK175VI 09:12:36 out
MA085JE 13:45:11 in
MA085JE 18:06:22 out
VW046SM 21:34:19 in
VW046SM 13:54:45 out
ED691JQ 18:47:17 in
ED691JQ 19:09:50 out
SN900KS 11:12:26 in
SN900KS 12:45:51 out
LZ216WY 19:34:39 in
LZ216WY 02:55:57 out
NH719WL 19:57:29 in
NH719WL 21:06:29 out
GP792TB 07:28:26 in
GP792TB 13:06:37 out
KO402TB 17:23:34 in
KO402TB 16:42:36 out
SB247XS 12:41:18 in
SB247XS 00:36:44 out
WK037RA 19:20:17 in
WK037RA 19:35:24 out
II259DC 08:23:33 in
II259DC 06:00:13 out
FS229NP 19:43:28 in
FS229NP 18:22:26 out
QM182AB 07:09:06 in
QM182AB 13:05:40 out
PL755NN 21:58:36 in
PL755NN 17:31:40 out
QV320CL 05:30:27 in
QV320CL 19:46:13 out
RF770MC 11:09:48 in
RF770MC 02:44:49 out
PJ729NO 07:28:37 in
PJ729NO 08:46:30 out
OK713VV 08:43:07 in
OK713VV 15:33:22 out
DZ753LA 01:39:27 in
DZ753LA 06:07:49 out
XD609UJ 17:29:26 in
XD609UJ 07:14:48 out
IQ690QN 06:17:15 in
IQ690QN 02:25:19 out
PJ374CW 14:25:22 in
PJ374CW 05:42:05 out
UA743VZ 10:24:29 in
UA743VZ 08:34:07 out
UG722CP 06:56:56 in
UG722CP 20:06:50 out
LS919NV 02:38:36 in
LS919NV 04:13:46 out
XR341YO 13:10:46 in
XR341YO 17:34:40 out
BA211QY 10:09:00 in
BA211QY 09:19:28 out
AH573MY 04:32:22 in
AH573MY 20:30:47 out
HZ135RT 07:21:57 in
HZ135RT 06:57:04 out
SX073IF 00:05:16 in
SX073IF 09:36:58 out
PQ330LT 13:17:23 in
PQ330LT 06:21:18 out
VZ908DF 09:54:35 in
VZ908DF 18:06:33 out
XY477RC 06:38:24 in
XY477RC 10:36:04 out
MJ502JR 05:57:44 in
MJ502JR 20:09:20 out
TY148BC 21:24:57 in
TY148BC 10:20:15 out
GM914QN 04:23:16 in
GM914QN 12:53:24 out
PS909JC 13:01:46 in
PS909JC 01:25:37 out
VY726QW 17:37:39 in
VY726QW 20:02:39 out
CS054TM 19:09:48 in
CS054TM 01:00:04 out
ZL065MW 23:37:19 in
ZL065MW 09:12:42 out
MA329AI 06:13:52 in
MA329AI 04:01:55 out
SS747SU 02:06:07 in
SS747SU 07:12:43 out
PM840YW 15:35:36 in
PM840YW 09:09:38 out
AL591NW 07:42:07 in
AL591NW 02:35:36 out
BV132MY 05:20:54 in
BV132MY 07:18:46 out
RV743AN 03:13:49 in
RV743AN 23:16:08 out
NH010RR 02:46:57 in
NH010RR 10:53:58 out
ZZ477TS 00:14:09 in
ZZ477TS 22:45:14 out
GC852JJ 05:00:19 in
GC852JJ 09:03:56 out
AR222DR 22:13:59 in
AR222DR 07:56:59 out
OW288JM 02:36:04 in
OW288JM 16:48:35 out
MM819OF 21:42:53 in
MM819OF 09:55:20 out
LS660BX 19:07:26 in
LS660BX 23:23:03 out
UJ547LK 21:56:40 in
UJ547LK 00:27:36 out
MO954RA 15:28:53 in
MO954RA 23:16:37 out
IS368BA 23:17:42 in
IS368BA 06:11:41 out
LR471YN 06:46:35 in
LR471YN 11:19:44 out
GW709CW 02:57:24 in
GW709CW 04:31:14 out
NW150MA 05:19:36 in
NW150MA 23:00:31 out
ZX703BH 04:03:30 in
ZX703BH 18:30:59 out
AG694DO 21:16:02 in
AG694DO 15:19:07 out
KV440BH 08:01:27 in
KV440BH 17:04:03 out
JW789WJ 01:40:48 in
JW789WJ 17:25:21 out
FZ636FR 18:03:10 in
FZ636FR 19:35:08 out
GX290FW 10:16:56 in
GX290FW 07:46:33 out
UM981JN 02:41:13 in
UM981JN 00:01:21 out
DG084VE 23:52:35 in
DG084VE 01:58:19 out
OJ137IG 12:40:30 in
OJ137IG 02:45:28 out
TP527IY 14:51:07 in
TP527IY 06:16:32 out
DU909JV 11:47:06 in
DU909JV 06:15:24 out
QD957XS 04:34:20 in
QD957XS 20:23:53 out
NA745OK 21:11:28 in
NA745OK 22:03:40 out
PD574CF 14:32:56 in
PD574CF 15:25:36 out
XP729SE 22:46:12 in
XP729SE 03:16:26 out
CE683PD 08:04:03 in
CE683PD 21:17:08 out
VP047XA 19:43:42 in
VP047XA 17:11:10 out
TD812JA 21:21:30 in
TD812JA 08:04:53 out
YO332GL 16:20:31 in
YO332GL 10:09:00 out
IK941ZH 23:28:08 in
IK941ZH 19:40:25 out
RI932HQ 23:05:52 in
RI932HQ 23:25:13 out
NH227SM 03:27:01 in
NH227SM 19:45:56 out
TS078UH 19:32:39 in
TS078UH 09:58:35 out
AJ952DS 08:13:57 in
AJ952DS 14:09:52 out
VM587QH 19:06:43 in
VM587QH 21:29:30 out
SC931OE 20:47:51 in
SC931OE 14:22:38 out
DR235HW 05:01:39 in
DR235HW 02:17:06 out
MF645RE 22:32:52 in
MF645RE 10:06:51 out
GD002JQ 19:30:16 in
GD002JQ 14:14:16 out
RE814PL 20:27:30 in
RE814PL 20:35:47 out
UR055SA 00:57:56 in
UR055SA 10:51:24 out
YZ740GW 14:33:39 in
YZ740GW 03:55:15 out
CL127ZS 15:55:11 in
CL127ZS 04:44:41 out
IV118BD 02:24:51 in
IV118BD 11:46:19 out
VQ232QR 11:28:13 in
VQ232QR 08:55:25 out
NR787ZZ 16:38:50 in
NR787ZZ 10:11:31 out
OF300YF 00:06:08 in
OF300YF 06:27:33 out
QZ262EI 19:09:42 in
QZ262EI 00:34:26 out
IH236MQ 01:00:34 in
IH236MQ 01:40:33 out
BD633XU 10:23:47 in
BD633XU 15:23:47 out
HD229HL 02:00:58 in
HD229HL 14:02:59 out
JW441FA 01:57:18 in
JW441FA 08:34:22 out
VB015RJ 10:53:08 in
VB015RJ 10:28:41 out
KG371YX 02:19:15 in
KG371YX 08:30:59 out
OC169GU 17:28:25 in
OC169GU 05:48:29 out
JJ755IR 20:32:51 in
JJ755IR 01:20:37 out
KH167ER 16:13:55 in
KH167ER 05:05:18 out
OR190AU 11:58:01 in
OR190AU 02:21:21 out
MS954MH 16:44:43 in
MS954MH 09:25:29 out
HE197UP 16:18:46 in
HE197UP 17:17:32 out
NQ165DU 11:22:55 in
NQ165DU 17:12:18 out
UI126EV 18:27:46 in
UI126EV 06:56:19 out
UX359FW 14:34:29 in
UX359FW 13:56:42 out
JD572LL 16:00:12 in
JD572LL 14:25:53 out
MG989XY 23:22:24 in
MG989XY 20:56:25 out
TR909TD 10:56:05 in
TR909TD 22:02:13 out
PE764XW 02:08:20 in
PE764XW 18:11:48 out
US725SC 10:00:50 in
US725SC 06:44:00 out
HH519ZX 13:35:36 in
HH519ZX 02:41:35 out
OW591XP 05:52:29 in
OW591XP 01:48:22 out
KL148UA 02:10:42 in
KL148UA 06:46:38 out
MW785TO 03:08:56 in
MW785TO 16:15:13 out
YW327BM 07:39:32 in
YW327BM 03:52:23 out
LU752DF 05:36:14 in
LU752DF 19:56:26 out
TQ915RN 06:43:37 in
TQ915RN 19:28:23 out
DP166DS 06:21:28 in
DP166DS 03:00:32 out
BT079NB 09:54:31 in
BT079NB 08:53:57 out
AT215MO 19:45:19 in
AT215MO 09:56:04 out
DP759TO 19:38:51 in
DP759TO 17:35:44 out
KS423QM 23:37:12 in
KS423QM 05:51:25 out
PB439YG 13:27:16 in
PB439YG 07:10:19 out
VE097TX 21:49:28 in
VE097TX 04:53:16 out
HS986WW 05:06:22 in
HS986WW 07:11:13 out
SN640JK 13:30:15 in
SN640JK 08:30:25 out
CA642MS 06:20:50 in
CA642MS 00:47:45 out
WU340EK 21:12:53 in
WU340EK 20:34:46 out
TA685NA 13:37:26 in
TA685NA 15:50:55 out
JX068AF 15:36:53 in
JX068AF 17:58:58 out
AR766MU 15:09:04 in
AR766MU 07:52:34 out
TL056BN 17:13:06 in
TL056BN 00:00:16 out
MZ760WW 20:41:04 in
MZ760WW 16:41:25 out
IR196KB 14:17:33 in
IR196KB 02:55:40 out
QD367KO 05:19:40 in
QD367KO 04:06:37 out
TU163YY 22:48:05 in
TU163YY 19:07:13 out
EX378RL 23:52:33 in
EX378RL 00:50:36 out
IM758HK 21:16:00 in
IM758HK 09:29:12 out
LB545MB 11:12:53 in
LB545MB 08:41:45 out
RM353PC 08:10:13 in
RM353PC 18:30:27 out
XZ268UO 20:49:56 in
XZ268UO 01:25:00 out
OA673BF 13:27:19 in
OA673BF 16:24:28 out
ZK132WL 05:46:23 in
ZK132WL 09:45:52 out
MK075DA 15:36:28 in
MK075DA 19:31:55 out
HQ328RF 20:14:12 in
HQ328RF 12:32:13 out
LA143YY 21:09:32 in
LA143YY 14:02:42 out
YB020MX 17:12:22 in
YB020MX 00:39:22 out
CK632BW 19:53:28 in
CK632BW 01:22:55 out
XD653RM 02:19:13 in
XD653RM 13:22:34 out
YA802WD 08:56:16 in
YA802WD 14:03:53 out
NE297AM 09:00:52 in
NE297AM 09:37:42 out
AQ051JV 16:14:50 in
AQ051JV 22:11:12 out
CE649DB 19:44:08 in
CE649DB 06:26:28 out
ZU940JG 07:38:20 in
ZU940JG 08:32:22 out
RW231AY 12:42:11 in
RW231AY 03:29:19 out
OF080ER 09:58:54 in
OF080ER 08:26:20 out
EP677VH 15:23:32 in
EP677VH 06:24:58 out
FK752TS 01:54:54 in
FK752TS 13:16:12 out
NP477FO 21:00:51 in
NP477FO 17:38:45 out
SE360RH 14:33:04 in
SE360RH 16:02:18 out
AX701WF 07:21:55 in
AX701WF 11:21:16 out
EV190GA 09:24:50 in
EV190GA 08:07:07 out
GF515HB 20:28:52 in
GF515HB 01:49:38 out
DS297FU 00:32:15 in
DS297FU 15:24:52 out
AE919PM 09:31:39 in
AE919PM 06:04:45 out
TE411TM 23:49:29 in
TE411TM 10:53:52 out
HM308HP 05:23:04 in
HM308HP 20:31:46 out
KA965DN 16:59:49 in
KA965DN 10:17:05 out
XP894DM 16:47:34 in
XP894DM 00:24:45 out
XF826GB 18:29:21 in
XF826GB 12:22:28 out
GZ300KD 23:30:11 in
GZ300KD 13:59:23 out
SQ222GA 19:07:15 in
SQ222GA 08:37:12 out
DO293CX 08:48:55 in
DO293CX 10:43:03 out
AY542UB 05:06:05 in
AY542UB 19:42:11 out
HA058OM 07:54:19 in
HA058OM 22:33:28 out
EC277CE 17:28:34 in
EC277CE 18:19:24 out
VR050UP 17:57:22 in
VR050UP 17:26:39 out
TL237HR 16:31:39 in
TL237HR 15:08:40 out
NV832LD 04:03:10 in
NV832LD 00:15:57 out
DA533OM 07:25:49 in
DA533OM 03:26:57 out
HH709QF 18:17:25 in
HH709QF 18:47:22 out
PF990TL 01:15:04 in
PF990TL 13:02:26 out
MW159BU 19:28:25 in
MW159BU 17:44:12 out
OI029ZC 01:09:00 in
OI029ZC 17:25:19 out
RV832DO 08:55:32 in
RV832DO 19:24:27 out
QR285SK 03:14:04 in
QR285SK 15:55:44 out
PM229YH 22:18:50 in
PM229YH 04:07:22 out
VK950UZ 05:33:41 in
VK950UZ 11:02:53 out
TR315TR 15:47:42 in
TR315TR 03:50:41 out
BX598DK 14:53:54 in
BX598DK 00:56:13 out
UV299MK 18:26:13 in
UV299MK 12:43:12 out
UO941SB 12:54:42 in
UO941SB 20:11:59 out
BS172OU 01:01:00 in
BS172OU 03:09:01 out
PA216QQ 08:01:25 in
PA216QQ 05:08:15 out
KD550EY 23:53:27 in
KD550EY 01:43:02 out
PP225DY 18:29:27 in
PP225DY 07:29:11 out
AW783MD 21:05:31 in
AW783MD 21:29:06 out
LI754RI 19:39:08 in
LI754RI 09:14:25 out
XV578IX 20:50:47 in
XV578IX 23:43:52 out
FS748CD 10:48:40 in
FS748CD 20:53:45 out
VL632YV 19:44:22 in
VL632YV 04:49:31 out
OG089QQ 15:41:42 in
OG089QQ 08:48:02 out
TO521RT 18:53:18 in
TO521RT 04:24:32 out
GM138OX 10:47:22 in
GM138OX 18:40:18 out
JZ384WS 14:18:54 in
JZ384WS 05:10:05 out
FL565QH 10:36:58 in
FL565QH 00:58:40 out
WX268KF 00:59:13 in
WX268KF 01:59:00 out
NO319AN 21:19:10 in
NO319AN 05:23:35 out
NE771UV 17:36:32 in
NE771UV 13:55:49 out
QQ676NH 21:05:25 in
QQ676NH 11:33:04 out
ZM383BG 16:27:57 in
ZM383BG 11:22:09 out
SY217FW 01:07:13 in
SY217FW 11:31:26 out
ZZ943AM 05:30:46 in
ZZ943AM 12:38:51 out
LU891CM 09:49:09 in
LU891CM 23:48:33 out
CN304KR 01:00:21 in
CN304KR 10:30:03 out
OF465CQ 22:25:03 in
OF465CQ 10:14:45 out
BF681MR 10:28:41 in
BF681MR 01:38:03 out
KB509OI 19:04:45 in
KB509OI 18:03:44 out
YT803UA 20:01:18 in
YT803UA 18:38:47 out
SQ620JY 17:59:38 in
SQ620JY 05:30:37 out
BB502BZ 13:45:35 in
BB502BZ 06:28:03 out
ZC528CH 04:40:05 in
ZC528CH 01:58:17 out
AN672FK 03:20:52 in
AN672FK 09:04:54 out
WA413UU 08:54:10 in
WA413UU 08:40:25 out
TE054SZ 10:25:30 in
TE054SZ 21:07:14 out
XH219YZ 21:38:28 in
XH219YZ 01:39:18 out
MI632LI 15:31:12 in
MI632LI 09:08:15 out
EC146BB 07:38:10 in
EC146BB 00:32:20 out
IL073IM 18:41:31 in
IL073IM 04:40:01 out
FW846SE 01:06:35 in
FW846SE 16:56:58 out
RC206OI 18:44:22 in
RC206OI 16:13:15 out
GD932KH 11:10:04 in
GD932KH 07:56:04 out
ZY956NF 23:43:27 in
ZY956NF 13:29:19 out
VA286AP 19:32:52 in
VA286AP 05:28:58 out
GS833RC 05:11:29 in
GS833RC 04:17:31 out
JQ604TI 05:14:06 in
JQ604TI 14:39:39 out
TK999OQ 06:02:23 in
TK999OQ 10:05:53 out
CQ681XN 11:26:20 in
CQ681XN 14:32:00 out
